id,regulated_entity_name,regulated_entity_rn_number,city_county,type_of_air_emissions_event,based_on_the,event_began,event_ended,type_of_emission
661,TDCJ HILLTOP UNIT,RN102415064,"GATESVILLE, CORYELL",BOIL WATER NOTICE (BWN),FINAL REPORT,12/12/2012,12/13/2012,boil-water-notice-bwn
662,SOLVAY SPECIALTY POLYMERS USA,RN102305505,"ORANGE, ORANGE",EMISSIONS EVENT,FINAL REPORT,"01/17/2013 
		12:36PM","01/17/2013 
                
",emissions-event
663,COMPRESSOR STATION 120,RN102607975,"GRANDFALLS, PECOS",EMISSIONS EVENT,FINAL REPORT,"01/15/2013 
		6:00AM","01/17/2013 
                
",emissions-event
664,CITY OF RALLS PUBLIC WATER SUP,RN101388189,"RALLS, CROSBY",BOIL WATER NOTICE (BWN),FINAL REPORT,12/26/2012,12/28/2012,boil-water-notice-bwn
665,RHODES COWDEN UNIT CENTRAL BAT,RN102199759,"ODESSA, ECTOR",EMISSIONS EVENT,FINAL REPORT,"01/17/2013 
		1:00PM","01/21/2013 
                
",emissions-event
666,REINECKE CTB AND CO2 RECYCLE F,RN102792637,"GAIL, BORDEN",EMISSIONS EVENT,INITIAL REPORT,"01/16/2013 
		7:00AM","01/17/2013 
                
",emissions-event
667,NACOGDOCHES POWER ELECTRIC GEN,RN103219127,"CUSHING, NACOGDOCHES",EXCESS OPACITY,INITIAL REPORT,"01/03/2013 
		2:12PM","01/03/2013 
                
",excess-opacity
668,TILDEN GAS PLANT,RN100216621,"TILDEN, MCMULLEN",EMISSIONS EVENT,FINAL REPORT,"01/17/2013 
		2:00PM","01/17/2013 
                
",emissions-event
669,SOUR LAKE OLEFINS,RN101985653,"SOUR LAKE, HARDIN",EMERGENCY RESPONSE,INITIAL REPORT,01/16/2013,01/16/2013,emergency-response
670,GENERIC INCIDENT ZIP CODE 7512,RN104033147,"FORNEY, KAUFMAN",EMERGENCY RESPONSE,INITIAL REPORT,01/10/2013,02/15/2013,emergency-response
671,DELTA COUNTY MUD,RN101205243,"COOPER, DELTA",BOIL WATER NOTICE (BWN),FINAL REPORT,12/27/2012,01/04/2013,boil-water-notice-bwn
672,DENTON ESTATES MOBILE HOME PAR,RN101174894,", DENTON",BOIL WATER NOTICE (BWN),FINAL REPORT,12/27/2012,01/06/2013,boil-water-notice-bwn
673,BOB DERRINGTON WWP,RN101614261,"ODESSA, MIDLAND",WASTEWATER BYPASS,INITIAL REPORT,"01/17/2013 
		11:23AM","01/17/2013 
                
",wastewater-bypass
674,WILLOW WOOD ADDITION MEADOW VI,RN102671187,"AUBREY, DENTON",,FINAL REPORT,12/31/2012,01/04/2013,none
675,DUKE ENERGY FIELD SERVICES PIP,RN104203484,", RUSK",EMISSIONS EVENT,INITIAL REPORT,"01/17/2013 
		10:00AM","01/17/2013 
                
",emissions-event
676,REEVES TANK BATTERY,RN102662863,"SEAGRAVES, YOAKUM",EMISSIONS EVENT,FINAL REPORT,"01/19/2013 
		8:00AM","01/23/2013 
                
",emissions-event
677,REEVES UNIT SATELLITE 1,RN105447312,"SEAGRAVES, YOAKUM",EMISSIONS EVENT,FINAL REPORT,"01/19/2013 
		8:00AM","01/23/2013 
                
",emissions-event
678,DENTON COUNTY FWSD 1-A CASTLE ,RN105746085,",",BOIL WATER NOTICE (BWN),FINAL REPORT,12/17/2012,01/07/2013,boil-water-notice-bwn
679,REEVES UNIT SATELLITE 2,RN105447254,"SEAGRAVES, YOAKUM",EMISSIONS EVENT,FINAL REPORT,"01/19/2013 
		8:00AM","01/23/2013 
                
",emissions-event
680,2 AMIGOS CAR STEREO A-1,RN106586837,"DALLAS, DALLAS",,INITIAL REPORT,01/11/2013,01/17/2013,none
816,KUYKENDALL BATTERY,RN105526206,"ANDREWS, ANDREWS",EMISSIONS EVENT,FINAL REPORT,"01/22/2013 
		11:00PM","01/23/2013 
                
",emissions-event
681,REEVES UNIT SATELLITE 3,RN105447197,"SEAGRAVES, YOAKUM",EMISSIONS EVENT,FINAL REPORT,"01/19/2013 
		8:00AM","01/23/2013 
                
",emissions-event
682,REEVES UNIT SATELLITE 4,RN105447239,"SEAGRAVES, YOAKUM",EMISSIONS EVENT,FINAL REPORT,"01/19/2013 
		8:00AM","01/23/2013 
                
",emissions-event
683,REEVES UNIT SATELLITE 6,RN105447387,"SEAGRAVES, YOAKUM",EMISSIONS EVENT,FINAL REPORT,"01/19/2013 
		8:00AM","01/23/2013 
                
",emissions-event
684,SAM JENKINS TANK BATTERY,RN104796412,"SEMINOLE, GAINES",MAINTENANCE,FINAL REPORT,"01/19/2013 
		8:00AM","01/23/2013 
                
",maintenance
685,ENTERPRISE MONT BELVIEU COMPLE,RN102323268,"MONT BELVIEU, CHAMBERS",MAINTENANCE,FINAL REPORT,"01/18/2013 
		11:00AM","01/20/2013 
                
",maintenance
686,VALLEY WSC,RN101176543,"SPUR, DICKENS",BOIL WATER NOTICE (BWN),FINAL REPORT,12/06/2012,01/31/2013,boil-water-notice-bwn
687,WEST WELLMAN PRODUCTION,RN101947836,"SEAGRAVES, TERRY",EMISSIONS EVENT,FINAL REPORT,"01/19/2013 
		8:00AM","01/23/2013 
                
",emissions-event
688,CITY OF CLARENDON PUBLIC WATER,RN101388940,"CLARENDON, DONLEY",BOIL WATER NOTICE (BWN),FINAL REPORT,12/04/2012,12/06/2012,boil-water-notice-bwn
689,FLINT HILLS RESOURCES LONGVIEW,RN101618759,"LONGVIEW, HARRISON",EMISSIONS EVENT,FINAL REPORT,"01/17/2013 
		12:15PM","01/19/2013 
                
",emissions-event
690,GRANDE CASA,RN102688041,"RED OAK, ELLIS",BOIL WATER NOTICE (BWN),FINAL REPORT,12/12/2012,12/18/2012,boil-water-notice-bwn
691,GARDENDALE SOUTH PGS GARDENDAL,RN106225303,"COTULLA, LA SALLE",EXCESS OPACITY,INITIAL REPORT,"01/17/2013 
		10:16AM","01/17/2013 
                
",excess-opacity
692,MOUNTAIN LAKES ADDITION,RN102691367,"BLUFFDALE, ERATH",BOIL WATER NOTICE (BWN),FINAL REPORT,12/14/2012,12/20/2012,boil-water-notice-bwn
693,TERRA SYSTEMS RECOVERY,RN106586787,"ROCKPORT, ARANSAS",,INITIAL REPORT,"01/07/2013 
		9:00AM","01/07/2013 
                
",none
694,MADISON COMPRESSOR STATION,RN101698371,"NORTH ZULCH, MADISON",EXCESS OPACITY,INITIAL REPORT,"01/17/2013 
		6:15AM","01/17/2013 
                
",excess-opacity
695,SOUTH FREESTONE COUNTY WSC,RN101402683,", FREESTONE",BOIL WATER NOTICE (BWN),FINAL REPORT,12/28/2012,12/31/2012,boil-water-notice-bwn
696,WAHA GAS PLANT,RN100211408,"FORT STOCKTON, PECOS",EMISSIONS EVENT,FINAL REPORT,01/18/2012,"01/18/2012 
                
",emissions-event
697,THORNBERRY 4 BATTERY,RN104800016,"ANDREWS, ANDREWS",EMISSIONS EVENT,FINAL REPORT,"01/18/2013 
		10:00AM","01/23/2013 
                
",emissions-event
698,CINDY TANK BATTERY,RN106106685,"ANDREWS, ANDREWS",MAINTENANCE,FINAL REPORT,"01/19/2013 
		8:00AM","01/29/2013 
                
",maintenance
699,HUTCHINSON PHILLIPS 66 PIPELIN,RN106673296,", HUTCHINSON",EMISSIONS EVENT,FINAL REPORT,"01/18/2013 
		4:30AM","01/18/2013 
                
",emissions-event
700,LESLEY BATTERY,RN106114481,"ANDREWS, ANDREWS",MAINTENANCE,FINAL REPORT,"01/19/2013 
		8:00AM","01/26/2013 
                
",maintenance
701,ULS 5-39 TANK BATTERY,RN106166853,"ANDREWS, ANDREWS",MAINTENANCE,FINAL REPORT,"01/19/2013 
		8:00AM","01/26/2013 
                
",maintenance
702,CORONADO BATTERY,RN106432818,"BARNHART, IRION",EMISSIONS EVENT,FINAL REPORT,"01/17/2013 
		6:00PM","01/18/2013 
                
",emissions-event
703,SILAS RAY POWER PLANT,RN100219450,"BROWNSVILLE, CAMERON",EMISSIONS EVENT,FINAL REPORT,"01/18/2013 
		8:00AM","01/18/2013 
                
",emissions-event
704,ULS 5-35 TANK BATTERY,RN105882385,"ANDREWS, ANDREWS",MAINTENANCE,FINAL REPORT,"01/19/2013 
		8:00AM","01/26/2013 
                
",maintenance
705,EASTMAN CHEMICAL TEXAS OPERATI,RN100219815,"LONGVIEW, HARRISON",EMISSIONS EVENT,FINAL REPORT,"01/17/2013 
		4:30PM","01/20/2013 
                
",emissions-event
706,ULS 4 27 BATTERY,RN106178171,"ANDREWS, ANDREWS",MAINTENANCE,FINAL REPORT,"01/19/2013 
		8:00AM","01/26/2013 
                
",maintenance
707,INDUSTRIAL UTILITIES SERVICE,RN102687662,"HOUSTON, HARRIS",BOIL WATER NOTICE (BWN),FINAL REPORT,12/19/2012,12/20/2012,boil-water-notice-bwn
708,PONDEROSA REGIONAL LANDFILL IN,RN106531197,"LAREDO, WEBB",,FINAL REPORT,"05/10/2013 
		9:30AM","05/14/2013 
                
",none
709,REINECKE CTB AND CO2 RECYCLE F,RN102792637,"GAIL, BORDEN",EMISSIONS EVENT,INITIAL REPORT,"01/17/2013 
		3:00AM","01/17/2013 
                
",emissions-event
710,ERNEST T BASS TANK BATTERY,RN106007867,"ODESSA, ECTOR",EMISSIONS EVENT,FINAL REPORT,"01/18/2013 
		4:00PM","01/22/2013 
                
",emissions-event
711,MYRTLE SPRINGS COMPRESSOR STAT,RN102533189,"WILLS POINT, VAN ZANDT",EMISSIONS EVENT,INITIAL REPORT,"01/18/2013 
		6:00AM","01/18/2013 
                
",emissions-event
712,INVISTA SARL,RN102663671,"VICTORIA, VICTORIA",AIR STARTUP,FINAL REPORT,"01/20/2013 
		6:00AM","01/23/2013 
                
",air-startup
713,AVINGER GAS PROCESSING PLANT,RN102735800,"AVINGER, MARION",EXCESS OPACITY,INITIAL REPORT,"01/19/2013 
		7:30AM","01/23/2013 
                
",excess-opacity
714,TOTAL PETRO CHEMICALS & REFINI,RN102457520,"PORT ARTHUR, JEFFERSON",EMISSIONS EVENT,FINAL REPORT,"01/19/2013 
		11:00AM","01/19/2013 
                
",emissions-event
726,ROBERTSON SAN ANDRES UNIT EAST,RN102570777,"SEMINOLE, GAINES",EMISSIONS EVENT,FINAL REPORT,"01/20/2013 
		9:00AM","01/26/2013 
                
",emissions-event
715,SWEPI DIMMIT COUNTY PIPELINE S,RN106065220,", DIMMIT",EMISSIONS EVENT,FINAL REPORT,"01/09/2013 
		9:00PM","01/10/2013 
                
",emissions-event
716,HOUSTON PLANT,RN100219526,"HOUSTON, HARRIS",EMISSIONS EVENT,FINAL REPORT,"01/18/2013 
		11:00PM","01/19/2013 
                
",emissions-event
717,CAG 437 SATELLITE BATTERY,RN103914354,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"01/19/2013 
		3:00PM","01/24/2013 
                
",emissions-event
718,TEXAS Q BATTERY AND STATE UNIV,RN101958296,"ANDREWS, ANDREWS",EMISSIONS EVENT,FINAL REPORT,01/20/2013,01/26/2013,emissions-event
719,TEXAS L BATTERY,RN101961852,"ANDREWS, ANDREWS",EMISSIONS EVENT,FINAL REPORT,01/20/2013,01/26/2013,emissions-event
720,UNIVERSITY BLOCK9 CE TANK BATT,RN101954717,"ANDREWS, ANDREWS",EMISSIONS EVENT,FINAL REPORT,01/20/2013,01/26/2013,emissions-event
721,STATE UNIVERSITY ATAUBA BATTER,RN102936697,"ANDREWS, ANDREWS",EMISSIONS EVENT,FINAL REPORT,01/20/2013,01/26/2013,emissions-event
722,XTO ENERGY UNIV N TANK BATTERY,RN101963007,"ANDREWS, ANDREWS",EMISSIONS EVENT,FINAL REPORT,01/20/2013,01/26/2013,emissions-event
723,MARTIN LAKE STEAM ELECTRIC STA,RN102583093,"TATUM, RUSK",EXCESS OPACITY,INITIAL REPORT,"01/19/2013 
		11:11PM","01/20/2013 
                
",excess-opacity
724,FLANAGAN UNIT CENTRAL BAT,RN102417300,"SEMINOLE, GAINES",EMISSIONS EVENT,FINAL REPORT,"01/20/2013 
		9:00AM","01/26/2013 
                
",emissions-event
725,CENTRAL ROBERTSON CLEARFORK UN,RN102531332,"SEMINOLE, GAINES",EMISSIONS EVENT,FINAL REPORT,"01/20/2013 
		9:00AM","01/26/2013 
                
",emissions-event
817,HOUSTON PLANT,RN100219526,"HOUSTON, HARRIS",EMERGENCY RESPONSE,INITIAL REPORT,"01/18/2013 
		11:00PM","01/18/2013 
                
",emergency-response
727,WEST SEMINOLE SAN ANDRES UNIT ,RN102941358,"SEMINOLE, GAINES",EMISSIONS EVENT,FINAL REPORT,"01/20/2013 
		8:00AM","01/26/2013 
                
",emissions-event
728,NORTH RILEY CENTRAL BATTERY,RN100219831,"SEMINOLE, GAINES",EMISSIONS EVENT,FINAL REPORT,"01/20/2013 
		8:00AM","01/26/2013 
                
",emissions-event
729,BELVAN MIDWAY LANE GAS PLANT,RN100214022,"OZONA, CROCKETT",EMISSIONS EVENT,FINAL REPORT,"01/19/2013 
		8:00PM","01/21/2013 
                
",emissions-event
730,JENKINS UNIT SATELLITE 2 AND C,RN102312949,"SEMINOLE, GAINES",EMISSIONS EVENT,FINAL REPORT,"01/20/2013 
		8:00AM","01/26/2013 
                
",emissions-event
731,DOLLARHIDE GAS PLANT,RN102523578,"ANDREWS, ANDREWS",EMISSIONS EVENT,FINAL REPORT,"01/20/2013 
		9:15AM","01/21/2013 
                
",emissions-event
732,JASPER ORIENTED STRANDBOARD OS,RN100215169,"JASPER, JASPER",MAINTENANCE,FINAL REPORT,"01/22/2013 
		8:40AM","01/22/2013 
                
",maintenance
733,CAG 480 SATELLITE BATTERY,RN103914495,"OIL AND GAS PRODUCTION, ECTOR",EMISSIONS EVENT,FINAL REPORT,"01/20/2013 
		3:00PM","02/15/2013 
                
",emissions-event
734,RED RIVER ARMY DEPOT,RN100224104,"TEXARKANA, BOWIE",AIR STARTUP,FINAL REPORT,"01/21/2013 
		9:05AM","01/21/2013 
                
",air-startup
735,CAG 511 SATELLITE BATTERY,RN106343114,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"01/20/2013 
		3:00PM","01/24/2013 
                
",emissions-event
736,LOVING BOOSTER,RN102552262,"MENTONE, LOVING",EMISSIONS EVENT,FINAL REPORT,"01/20/2013 
		6:00PM",01/21/2013,emissions-event
737,SAM JENKINS TANK BATTERY,RN104796412,"SEMINOLE, GAINES",EMISSIONS EVENT,FINAL REPORT,"01/21/2013 
		1:00PM","01/27/2013 
                
",emissions-event
738,CHAP BOOSTER STATION,RN100219427,"MIDLAND, MIDLAND",EMISSIONS EVENT,FINAL REPORT,"01/18/2013 
		7:00AM","01/18/2013 
                
",emissions-event
739,MCALISTER BOOSTER STATION,RN100220565,"MIDLAND, MIDLAND",EMISSIONS EVENT,FINAL REPORT,"01/19/2013 
		4:30PM","01/19/2013 
                
",emissions-event
740,EXXON MOBIL BAYTOWN FACILITY,RN102579307,"BAYTOWN, HARRIS",EMISSIONS EVENT,FINAL REPORT,"01/21/2013 
		3:37AM","01/22/2013 
                
",emissions-event
741,TOTAL PETRO CHEMICALS & REFINI,RN102457520,"PORT ARTHUR, JEFFERSON",EMISSIONS EVENT,FINAL REPORT,"01/20/2013 
		4:30PM","01/20/2013 
                
",emissions-event
742,WEST WADDELL RANCH SAT220,RN104177217,"CRANE, CRANE",EMISSIONS EVENT,FINAL REPORT,"01/21/2013 
		8:00AM","01/22/2013 
                
",emissions-event
743,AMERADA HESS SEMINOLE GAS PROC,RN103758470,"SEMINOLE, GAINES",EMISSIONS EVENT,FINAL REPORT,"01/21/2013 
		12:15PM","01/26/2013 
                
",emissions-event
744,PITTSBURG GAS PLANT,RN100223783,"PITTSBURG, CAMP",MAINTENANCE,FINAL REPORT,"01/22/2013 
		8:00AM","01/22/2013 
                
",maintenance
745,ROBERTSON CLEARFORK SATELLITE ,RN106382187,", GAINES",EMISSIONS EVENT,FINAL REPORT,01/21/2013,"01/25/2013 
                
",emissions-event
746,PENN UNIT ABCD BATTERY ANDRES,RN102936655,"ANDREWS, ANDREWS",EMISSIONS EVENT,FINAL REPORT,01/21/2013,01/27/2013,emissions-event
747,DEEP ROCK CENTRAL PROD TB,RN102202983,"ANDREWS, ANDREWS",EMISSIONS EVENT,FINAL REPORT,01/21/2013,"01/26/2013 
                
",emissions-event
748,SWEPI WEBB COUNTY PIPELINE SEG,RN106065279,"CATARINA, WEBB",EMISSIONS EVENT,FINAL REPORT,"01/21/2013 
		11:19AM","01/21/2013 
                
",emissions-event
749,HEREFORD RENEWAL ENERGY,RN104607833,"HEREFORD, DEAF SMITH",EMISSIONS EVENT,FINAL REPORT,"01/21/2013 
		2:36AM","01/23/2013 
                
",emissions-event
750,EXXONMOBIL BEAUMONT REFINERY,RN102450756,"BEAUMONT, JEFFERSON",EMISSIONS EVENT,FINAL REPORT,"01/21/2013 
		4:15AM","01/21/2013 
                
",emissions-event
751,DORSETT PLACE,RN101267144,", HARRIS",BOIL WATER NOTICE (BWN),FINAL REPORT,12/28/2012,01/02/2013,boil-water-notice-bwn
752,GENERIC INCIDENT ZIP CODE 7806,RN104048517,"PIPE CREEK, BANDERA",EMERGENCY RESPONSE,INITIAL REPORT,"01/21/2013 
		8:00AM","01/21/2013 
                
",emergency-response
753,GENERIC INCIDENT ZIP CODE 7611,RN104038666,"FORT WORTH, TARRANT",EMERGENCY RESPONSE,INITIAL REPORT,"01/21/2013 
		4:00PM",03/26/2013,emergency-response
754,GENERIC INCIDENT ZIP CODE 7606,RN104038286,"MINERAL WELLS, PALO PINTO",,INITIAL REPORT,01/28/2013,02/14/2013,none
755,KENWOOD SUBDIVISION WATER SYST,RN101233963,", HARRIS",BOIL WATER NOTICE (BWN),FINAL REPORT,12/20/2012,12/24/2012,boil-water-notice-bwn
756,GENERIC INCIDENT ZIP CODE 7885,RN104053301,"EAGLE PASS, MAVERICK",EMERGENCY RESPONSE,FINAL REPORT,"01/19/2013 
		2:30PM","01/19/2013 
                
",emergency-response
757,WESTERN TRAILS SUBDIVISION,RN102673720,", HARRIS",BOIL WATER NOTICE (BWN),FINAL REPORT,12/20/2012,12/21/2012,boil-water-notice-bwn
758,PINE OAK FOREST WATER SYSTEM,RN101213601,", HARRIS",BOIL WATER NOTICE (BWN),FINAL REPORT,12/26/2012,12/28/2012,boil-water-notice-bwn
759,BAMMEL OAKS ESTATES 1,RN102685484,", HARRIS",BOIL WATER NOTICE (BWN),FINAL REPORT,12/12/2012,12/14/2012,boil-water-notice-bwn
760,GENERIC INCIDENT ZIP CODE 7883,RN104053194,"CATARINA, DIMMIT",EMERGENCY RESPONSE,INITIAL REPORT,01/16/2013,01/16/2013,emergency-response
761,SOUTH FULLERTON BOOSTER STATIO,RN100219641,"ANDREWS, ANDREWS",EMISSIONS EVENT,INITIAL REPORT,"01/21/2013 
		1:00PM","01/21/2013 
                
",emissions-event
762,HARRIS COUNTY MUD 118,RN101398071,", HARRIS",BOIL WATER NOTICE (BWN),FINAL REPORT,01/03/2013,01/05/2013,boil-water-notice-bwn
763,BRITTMOORE UTILITY,RN102673126,", HARRIS",BOIL WATER NOTICE (BWN),FINAL REPORT,01/04/2012,01/10/2012,boil-water-notice-bwn
764,COUNTY LINE EXPRESS HAULING,RN105096853,"ATHENS, HENDERSON",EMERGENCY RESPONSE,INITIAL REPORT,01/01/2013,04/18/2013,emergency-response
765,DUPONT SABINE RIVER WORKS,RN100542711,"ORANGE, ORANGE",EMISSIONS EVENT,FINAL REPORT,"01/21/2013 
		12:19AM","01/21/2013 
                
",emissions-event
766,INVISTA SARL SABINE RIVER SITE,RN104392626,"ORANGE, ORANGE",EMISSIONS EVENT,FINAL REPORT,"01/21/2013 
		1:06PM","01/21/2013 
                
",emissions-event
767,SPRING CREEK TRAILS,RN101451045,", HARRIS",BOIL WATER NOTICE (BWN),FINAL REPORT,11/26/2012,12/04/2012,boil-water-notice-bwn
768,OAK MANOR,RN102680071,", HARRIS",BOIL WATER NOTICE (BWN),FINAL REPORT,12/20/2012,12/24/2012,boil-water-notice-bwn
769,NATURES WAY RESOURCES CONROE,RN104208210,"CONROE, MONTGOMERY",,INITIAL REPORT,"01/16/2013 
		8:00AM","01/17/2013 
                
",none
770,AMBERWOOD SUBDIVISION,RN101437796,", HARRIS",BOIL WATER NOTICE (BWN),FINAL REPORT,11/14/2012,11/16/2012,boil-water-notice-bwn
828,PERRIN WATER SYSTEM,RN102681897,", JACK",BOIL WATER NOTICE (BWN),FINAL REPORT,01/03/2013,02/26/2013,boil-water-notice-bwn
771,CABRERA DERLIS A,RN106588437,", COLLIN",,INITIAL REPORT,01/22/2013,01/22/2013,none
772,GENERIC INCIDENT ZIP CODE 7606,RN104038245,"MANSFIELD, TARRANT",EMERGENCY RESPONSE,INITIAL REPORT,"01/14/2013 
		2:30PM",04/29/2013,emergency-response
773,PERMIAN HEAT TREATERS,RN106588379,"ODESSA, ECTOR",EMERGENCY RESPONSE,INITIAL REPORT,"10/04/2012 
		7:30PM","10/05/2012 
                
",emergency-response
774,CITY OF MARSHALL,RN101388700,", HARRISON",BOIL WATER NOTICE (BWN),FINAL REPORT,11/20/2012,11/22/2012,boil-water-notice-bwn
775,GENERIC INCIDENT ZIP CODE 7521,RN104033675,"DALLAS, DALLAS",EMERGENCY RESPONSE,INITIAL REPORT,"01/15/2013 
		3:20PM",04/12/2013,emergency-response
776,CITY OF TRINIDAD,RN101386514,"TRINIDAD, HENDERSON",BOIL WATER NOTICE (BWN),FINAL REPORT,11/29/2012,12/01/2012,boil-water-notice-bwn
777,GOLDSMITH LANDRETH DEEP UNIT S,RN102752920,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"01/22/2013 
		8:30AM","01/22/2013 
                
",emissions-event
778,SOUTH BOWIE COMPRESSOR STATION,RN106482805,"SUNSET, MONTAGUE",EMISSIONS EVENT,FINAL REPORT,"01/19/2013 
		6:45PM","01/21/2013 
                
",emissions-event
779,LEIGH WSC,RN101454288,", HARRISON",BOIL WATER NOTICE (BWN),FINAL REPORT,01/05/2013,01/09/2013,boil-water-notice-bwn
780,CAG 120 SATELLITE BATTERY,RN106424336,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"01/22/2013 
		9:00AM","01/23/2013 
                
",emissions-event
781,RIVER OAKS RANCH,RN101377380,", HAYS",BOIL WATER NOTICE (BWN),FINAL REPORT,01/02/2013,01/04/2013,boil-water-notice-bwn
782,GLDU STATION 8,RN102421716,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"01/22/2013 
		8:30AM","01/22/2013 
                
",emissions-event
783,GLDU STATION 4,RN102416344,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"01/22/2013 
		8:30AM","01/22/2013 
                
",emissions-event
784,GSMITH LANDRETH DEEP ST12,RN102416013,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"01/22/2013 
		8:30AM","01/22/2013 
                
",emissions-event
785,GENERIC INCIDENT ZIP CODE 7603,RN104038039,"CLEBURNE, JOHNSON",EMERGENCY RESPONSE,INITIAL REPORT,"01/16/2013 
		7:00AM",04/26/2013,emergency-response
786,WESTERN REFINING EL PASO ALL S,RN100213016,"EL PASO, EL PASO",EMERGENCY RESPONSE,INITIAL REPORT,"01/17/2013 
		1:00PM","01/17/2013 
                
",emergency-response
787,GOLDSMITH CAG 541,RN105295281,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"01/22/2013 
		9:00AM","01/23/2013 
                
",emissions-event
788,VALERO CORPUS CHRISTI REFINERY,RN100214386,"CORPUS CHRISTI, NUECES",EMISSIONS EVENT,FINAL REPORT,"01/22/2013 
		4:20AM","01/28/2013 
                
",emissions-event
789,CHANNELVIEW COMPLEX,RN100542281,"CHANNELVIEW, HARRIS",EMISSIONS EVENT,FINAL REPORT,"01/21/2013 
		7:30PM","01/21/2013 
                
",emissions-event
790,UNIV CONS XII BTY 3,RN106493315,", ANDREWS",EMISSIONS EVENT,FINAL REPORT,"01/22/2013 
		3:00PM","01/23/2013 
                
",emissions-event
791,CHAP BOOSTER STATION,RN100219427,"MIDLAND, MIDLAND",EMISSIONS EVENT,INITIAL REPORT,"01/21/2013 
		7:00PM",01/22/2013,emissions-event
792,MAVERICK MAINLINE CDP AND BASI,RN105968614,"CATARINA, DIMMIT",EMISSIONS EVENT,FINAL REPORT,"01/11/2013 
		7:30AM","01/11/2013 
                
",emissions-event
803,SOUTHWEST TERMINAL,RN100840818,"BROWNSVILLE, CAMERON",EMERGENCY RESPONSE,INITIAL REPORT,"01/21/2013 
		11:40AM","01/21/2013 
                
",emergency-response
793,SOUTH FULLERTON BOOSTER STATIO,RN100219641,"ANDREWS, ANDREWS",EMISSIONS EVENT,INITIAL REPORT,"01/22/2013 
		7:30AM","01/23/2013 
                
",emissions-event
794,GOLDSMITH GAS PLANT,RN100222330,"GOLDSMITH, ECTOR",EMISSIONS EVENT,INITIAL REPORT,"01/22/2013 
		11:08AM","01/22/2013 
                
",emissions-event
795,TILDEN GAS PLANT,RN100216621,"TILDEN, MCMULLEN",EMISSIONS EVENT,FINAL REPORT,"01/22/2013 
		10:50AM","01/22/2013 
                
",emissions-event
796,MIDLAND FARMS CENTRAL TANK BAT,RN102570884,"ODESSA, ANDREWS",EMISSIONS EVENT,FINAL REPORT,"01/22/2013 
		1:15PM","01/22/2013 
                
",emissions-event
797,GENERIC INCIDENT ZIP CODE 7524,RN104034020,"DALLAS, DALLAS",EMERGENCY RESPONSE,INITIAL REPORT,"01/22/2013 
		9:54PM","04/26/2013 
                
",emergency-response
798,FULLERTON CLEARFORK 200 5,RN102983533,"ANDREWS, ANDREWS",EMISSIONS EVENT,FINAL REPORT,"01/22/2013 
		11:30AM","01/23/2013 
                
",emissions-event
799,FULLERTON CLEARFORK UNIT SUBBA,RN106416738,"ANDREWS, ANDREWS",EMISSIONS EVENT,FINAL REPORT,"01/22/2013 
		3:30PM","01/23/2013 
                
",emissions-event
800,BIG BROWN STEAM ELECTRIC STATI,RN101198059,"FAIRFIELD, FREESTONE",EXCESS OPACITY,INITIAL REPORT,"01/23/2013 
		7:48AM","01/23/2013 
                
",excess-opacity
801,GENERIC INCIDENT ZIP CODE 7837,RN104050281,"ODEM, SAN PATRICIO",,INITIAL REPORT,"01/19/2013 
		12:00PM","01/19/2013 
                
",none
802,LAKE PALESTINE WATER,RN102680105,"LAKE PALESTINE, HENDERSON",BOIL WATER NOTICE (BWN),FINAL REPORT,12/18/2012,12/20/2012,boil-water-notice-bwn
804,CITY OF RIO HONDO,RN101209195,", CAMERON",EMERGENCY RESPONSE,INITIAL REPORT,"01/11/2013 
		3:00PM","01/11/2013 
                
",emergency-response
