id,contaminant,limit,amount_released
2357,"Butane, i",5000.0 lbs,2368.0 lbs (est.)
2358,Carbon Monoxide,5000.0 lbs,21861.0 lbs (est.)
2359,Hexanes,5000.0 lbs,1411.0 lbs (est.)
2360,Hydrogen Sulfide,100.0 lbs,2117.0 lbs (est.)
2361,NOX,1000.0 lbs,10950.0 lbs (est.)
2362,"Pentane, N-",5000.0 lbs,1569.0 lbs (est.)
2363,Propane,5000.0 lbs,13868.0 lbs (est.)
2364,Sulfur dioxide,500.0 lbs,199234.0 lbs (est.)
2365,"pentane, iso-",5000.0 lbs,1764.0 lbs (est.)
2366,Acrylonitrile,1.56 LBS/HR,3.6 lbs (est.)
2367,HCN,0.28 LBS/HR,4.67 lbs (est.)
2368,VOC,0.2 LBS/HR,8.3 lbs (est.)
2369,Acrylonitrile,0.1 LBS/HR,0.034 lbs (est.)
2370,HCN,0.1 LBS/HR,0.019 lbs (est.)
2371,VOC,0.31 LBS/HR,0.056 lbs (est.)
2372,Acrylonitrile,0.1 LBS/HR,1.92 lbs (est.)
2373,HCN,0.1 LBS/HR,0.14 lbs (est.)
2374,VOC,0.14 LBS/HR,2.07 lbs (est.)
2375,VOC,0.12 LBS/HR,0.054 lbs (est.)
2376,HCN,1.4 LBS/HR,86.4 lbs (est.)
2377,VOC,0.12 LBS/HR,86.458 lbs (est.)
2378,Acrylonitrile,0.22 LBS/HR,3.58 lbs (est.)
2379,HCN,0.1 LBS/HR,0.002 lbs (est.)
2380,VOC,0.14 LBS/HR,3.6 lbs (est.)
2381,"Butane, N-",5000.0 lbs,107.0 lbs (est.)
2382,"Butane, i",5000.0 lbs,31.0 lbs (est.)
2383,Carbon Monoxide,5000.0 lbs,378.0 lbs (est.)
2384,Hexanes,5000.0 lbs,194.0 lbs (est.)
2385,Hydrogen Sulfide,100.0 lbs,211.0 lbs (est.)
2386,NOX,1000.0 lbs,189.0 lbs (est.)
2387,"Pentane, N-",5000.0 lbs,63.0 lbs (est.)
2388,Propane,5000.0 lbs,177.0 lbs (est.)
2389,Sulfur dioxide,500.0 lbs,19820.0 lbs (est.)
2390,"pentane, iso-",5000.0 lbs,47.0 lbs (est.)
2391,NATURAL GAS,1.21 TONS/YR,12276.03 lbs (est.)
2392,Carbon Monoxide,0,11545.0 lbs (est.)
2393,Hydrogen Sulfide,0,53.1 lbs (est.)
2394,Non-Methane Non-Ethane Natural Gas,0,685.0 lbs (est.)
2395,Oxides of Nitrogen (NOx),0,1346.5 lbs (est.)
2396,Sulfur dioxide,0,4901.0 lbs (est.)
2397,Crude Oil,25.0 gals,700.0 gals (est.)
2398,Carbon Monoxide,0,390.57 lbs (est.)
2399,Hydrogen Sulfide,0,239.639 lbs (est.)
2400,Nitrogen Oxides,0,45.48 lbs (est.)
2401,Sulfur dioxide,0,22328.74 lbs (est.)
2402,VOC,0,99.49 lbs (est.)
2403,NATURAL GAS,1.21 TONS/YR,12276.03 lbs (est.)
2404,Used Oil,0,Unknown
2405,Sodium hypochlorite,0,605.0 gals (est.)
2406,Light Cycle Oil,0,259.0 bbls
2407,Carbon Monoxide,0,35.17 lbs (est.)
2408,Hydrogen Sulfide,0,9.16 lbs (est.)
2409,NATURAL GAS,0,31.29 lbs (est.)
2410,Nitrogen oxide,0,4.1 lbs (est.)
2411,Sulfur dioxide,0,860.89 lbs (est.)
2412,Benzene,0,18.8 lbs (est.)
2413,"Butane, N-",0,90.3 lbs (est.)
2414,"Butane, i",0,24.5 lbs (est.)
2415,Ethylbenzene,0,0.3 lbs (est.)
2416,HEPTANE (OR N-),0,22.6 lbs (est.)
2417,Hexane,0,37.4 lbs (est.)
2418,Nonane,0,1.2 lbs (est.)
2419,Octane,0,6.1 lbs (est.)
2420,Pentane,0,32.5 lbs (est.)
2421,Pentanes,0,23.1 lbs (est.)
2422,Propane,0,340.2 lbs (est.)
2423,Toluene,0,7.8 lbs (est.)
2424,Xylene,0,0.5 lbs (est.)
2425,Carbon Monoxide,0,133.0 lbs (est.)
2426,Hydrogen Sulfide,0,26.0 lbs (est.)
2427,NOX,0,67.0 lbs (est.)
2428,Non-Methane Non-Ethane Natural Gas,0,157.0 lbs (est.)
2429,Sulfur dioxide,0,2364.0 lbs (est.)
2430,Carbon Monoxide,250.0 TONS/YR,3417.168 lbs (est.)
2431,Hydrogen Sulfide,25.0 TONS/YR,122.0 lbs (est.)
2432,Natural Gas VOCs,25.0 TONS/YR,22.55549 lbs (est.)
2433,Oxides of Nitrogen (NOx),250.0 TONS/YR,628.028 lbs (est.)
2434,Sulfur dioxide,25.0 TONS/YR,11252.926 lbs (est.)
2435,Carbon Monoxide,250.0 TONS/YR,2156.62 lbs (est.)
2436,Hydrogen Sulfide,25.0 TONS/YR,150.5574 lbs (est.)
2437,Natural Gas VOCs,25.0 TONS/YR,23.43 lbs (est.)
2438,Oxides of Nitrogen (NOx),250.0 TONS/YR,396.35 lbs (est.)
2439,Sulfur dioxide,25.0 TONS/YR,13886.7 lbs (est.)
2440,NATURAL GAS,1.21 TONS/YR,16412.64 lbs (est.)
2441,Natural Gas VOCs,0,8964.0 lbs (est.)
2442,Carbon Monoxide,99.24 LBS/HR,268.95 lbs (est.)
2443,Ethane,0,224.54 lbs (est.)
2444,Nitrogen oxide,64.89 LBS/HR,173.12 lbs (est.)
2445,Benzene,0,0.7 lbs (est.)
2446,Hydrogen Sulfide,0,0.7 lbs (est.)
2447,Sulfur dioxide,0,2.7 lbs (est.)
2448,1-Butene,0,0.7 lbs (est.)
2449,Benzene,0,8.5 lbs (est.)
2450,Butane,0,15.6 lbs (est.)
2451,"Butane, N-",0,8.8 lbs (est.)
2452,"Butane, i",0,6.8 lbs (est.)
2453,Carbon Monoxide,0,116.5 lbs (est.)
2454,Ethane,0,7.3 lbs (est.)
2455,Ethylene (gaseous),0,1.4 lbs (est.)
2456,Hexane Plus,0,34.7 lbs (est.)
2457,Hydrogen Sulfide,0,0.7 lbs (est.)
2458,Isobutene,0,0.9 lbs (est.)
2459,Isopentane,0,46.3 lbs (est.)
2460,Methane,0,42.6 lbs (est.)
2461,NOX,0,16.8 lbs (est.)
2462,"Pentane, N-",0,27.0 lbs (est.)
2463,Propane,0,7.7 lbs (est.)
2464,Propylene (Propene),0,5.9 lbs (est.)
2465,Sulfur dioxide,0,62.2 lbs (est.)
2466,Trans-2-butene,0,0.8 lbs (est.)
2467,"1,3-BUTADIENE",0,0.1 lbs (est.)
2468,Benzene,0,4.0 lbs (est.)
2469,Butane,0,15.9 lbs (est.)
2470,"Butane, N-",0,7.8 lbs (est.)
2471,Carbon Monoxide,0,4.0 lbs (est.)
2472,Cis-2-butene,0,4.9 lbs (est.)
2473,Ethane,0,6.3 lbs (est.)
2474,Ethylene (gaseous),0,3.1 lbs (est.)
2475,Hexane Plus,0,16.5 lbs (est.)
2476,Hydrogen Sulfide,0,1.5 lbs (est.)
2477,Isobutane,0,8.1 lbs (est.)
2478,Isobutene,0,13.3 lbs (est.)
2479,Isopentane,0,42.9 lbs (est.)
2480,Methane,0,22.0 lbs (est.)
2481,NOX,0,12.3 lbs (est.)
2482,Opacity,15.0 % op,30.0 % op (est.)
2483,"Pentane, N-",0,241.8 lbs (est.)
2484,Propane,0,7.1 lbs (est.)
2485,Propylene (Propene),0,15.7 lbs (est.)
2486,Sulfur dioxide,0,50.2 lbs (est.)
2487,Trans-2-butene,0,6.6 lbs (est.)
2488,"Butane, N-",5000.0 lbs,43.0 lbs (est.)
2489,Carbon Monoxide,5000.0 lbs,181.0 lbs (est.)
2490,Hexanes,5000.0 lbs,11.0 lbs (est.)
2491,Hydrogen Sulfide,100.0 lbs,9.0 lbs (est.)
2492,Isobutane,5000.0 lbs,15.0 lbs (est.)
2493,Isopentane,5000.0 lbs,9.0 lbs (est.)
2494,NOX,1000.0 lbs,91.0 lbs (est.)
2495,"Pentane, N-",5000.0 lbs,11.0 lbs (est.)
2496,Propane,5000.0 lbs,113.0 lbs (est.)
2497,Sulfur dioxide,500.0 lbs,840.0 lbs (est.)
2498,"Butane, N-",5000.0 lbs,99.0 lbs (est.)
2499,Carbon Monoxide,5000.0 lbs,264.0 lbs (est.)
2500,Hexanes,5000.0 lbs,47.0 lbs (est.)
2501,Hydrogen Sulfide,100.0 lbs,12.0 lbs (est.)
2502,Isobutane,5000.0 lbs,34.0 lbs (est.)
2503,Isopentane,5000.0 lbs,28.0 lbs (est.)
2504,NOX,1000.0 lbs,132.0 lbs (est.)
2505,"Pentane, N-",5000.0 lbs,31.0 lbs (est.)
2506,Propane,5000.0 lbs,209.0 lbs (est.)
2507,Sulfur dioxide,500.0 lbs,1103.0 lbs (est.)
2508,Carbon Monoxide,0.0001 TONS/YR,237.4 lbs (est.)
2509,Hydrogen Sulfide,0.0001 TONS/YR,12.23 lbs (est.)
2510,NATURAL GAS,0.0001 TONS/YR,164.4 lbs (est.)
2511,Nitrogen Oxides,0.0001 TONS/YR,118.91 lbs (est.)
2512,Sulfur dioxide,0.0001 TONS/YR,1126.09 lbs (est.)
2513,Diesel fuel,25.0 gals,100.0 gals (est.)
2514,Diesel fuel,25.0 gals,100.0 gals (est.)
2515,Carbon Monoxide,0,145.0 lbs (est.)
2516,Hydrogen Sulfide,0,28.0 lbs (est.)
2517,NOX,0,73.0 lbs (est.)
2518,Non-Methane Non-Ethane Natural Gas,0,170.0 lbs (est.)
2519,Sulfur dioxide,0,2569.0 lbs (est.)
2520,Opacity,20.0 % op,0.01 % op (est.)
2521,Opacity,20.0 % op,0.01 % op (est.)
2522,NATURAL GAS,0.0001 TONS/YR,16363.45 lbs (est.)
2523,Carbon Monoxide,0,157.86 lbs (est.)
2524,Hydrogen Sulfide,0,41.11 lbs (est.)
2525,NATURAL GAS,0,140.41 lbs (est.)
2526,Nitrogen Oxides,0,18.41 lbs (est.)
2527,Sulfur dioxide,0,3863.65 lbs (est.)
2528,Natural Gas VOCs,0,13052.0 lbs (est.)
2529,Carbon Monoxide,0,5610.0 lbs (est.)
2530,NATURAL GAS,0,64.0 lbs (est.)
2531,NOX,0,654.0 lbs (est.)
2532,Diesel fuel 4-D,0,300.0 gals
2533,Benzene,0,10.22 lbs (est.)
2534,Butane,0,1066.02 lbs (est.)
2535,Ethylbenzene,0,1.98 lbs (est.)
2536,Heptane (or n-),0,178.9 lbs (est.)
2537,Hexane,0,287.32 lbs (est.)
2538,Isobutane,0,314.22 lbs (est.)
2539,Isopentane,0,290.39 lbs (est.)
2540,Octane,0,132.78 lbs (est.)
2541,Pentane,0,353.38 lbs (est.)
2542,Propane,0,2558.48 lbs (est.)
2543,Toluene,0,12.12 lbs (est.)
2544,Xylene,0,8.08 lbs (est.)
2545,decane,0,13.77 lbs (est.)
2546,"Butane, N-",5000.0 lbs,99.0 lbs (est.)
2547,"Butane, i",5000.0 lbs,39.0 lbs (est.)
2548,Carbon Monoxide,5000.0 lbs,360.0 lbs (est.)
2549,Hexanes,5000.0 lbs,23.0 lbs (est.)
2550,Hydrogen Sulfide,100.0 lbs,35.0 lbs (est.)
2551,NOX,1000.0 lbs,180.0 lbs (est.)
2552,"Pentane, N-",5000.0 lbs,26.0 lbs (est.)
2553,Propane,5000.0 lbs,228.0 lbs (est.)
2554,Sulfur dioxide,500.0 lbs,3281.0 lbs (est.)
2555,"pentane, iso-",5000.0 lbs,29.0 lbs (est.)
2556,Carbon Monoxide,0,2.07 lbs (est.)
2557,Hydrogen Sulfide,0,111.0 lbs (est.)
2558,NATURAL GAS,0,0.44 lbs (est.)
2559,Nitrogen dioxide,0,0.03 lbs (est.)
2560,Nitrogen oxide,0,0.49 lbs (est.)
2561,Sulfur dioxide,0,10223.9 lbs (est.)
2562,Carbon Monoxide,0,319.0 lbs (est.)
2563,Hydrogen Sulfide,0,9.8 lbs (est.)
2564,Non-Methane Non-Ethane Natural Gas,0,141.0 lbs (est.)
2565,Oxides of Nitrogen (NOx),0,37.2 lbs (est.)
2566,Sulfur dioxide,0,900.0 lbs (est.)
2567,Hydrogen Sulfide,0,901.0 lbs (est.)
2568,VOC MIXTURE,0,247670.0 lbs (est.)
2569,Carbon Monoxide,0,1382.0 lbs (est.)
2570,Hydrogen Sulfide,0,66.1 lbs (est.)
2571,Non-Methane Non-Ethane Natural Gas,0,759.0 lbs (est.)
2572,Oxides of Nitrogen (NOx),0,161.2 lbs (est.)
2573,Sulfur dioxide,0,6094.0 lbs (est.)
2574,Sulfuric acid,0,400.0 gals (est.)
2575,Mineral oil,25.0 gals,45.0 gals (est.)
2576,Diesel fuel,0,150.0 gals (est.)
2577,Mineral oil,0,92.0 gals (est.)
2578,Mineral oil,0,19.0 gals (est.)
2579,Diesel fuel,0,200.0 gals (est.)
2580,Diesel fuel,0,80.0 gals (est.)
2581,Carbon Monoxide,0,6596.0 lbs (est.)
2582,Hydrogen Sulfide,0,40.2 lbs (est.)
2583,Non-Methane Non-Ethane Natural Gas,0,879.0 lbs (est.)
2584,Oxides of Nitrogen (NOx),0,769.3 lbs (est.)
2585,Sulfur dioxide,0,3709.0 lbs (est.)
2586,Alumina Hydrate Dust,9.51 LBS/HR,7.33 lbs (est.)
2587,Opacity,15.0 % op,100.0 % op (est.)
2588,DIESEL OIL #2/GUAR GUM,0,100.0 gals (est.)
2589,"Butane, N-",5000.0 lbs,2519.0 lbs (est.)
2590,"Butane, i",5000.0 lbs,996.0 lbs (est.)
2591,Carbon Monoxide,5000.0 lbs,9197.0 lbs (est.)
2592,Hexanes,5000.0 lbs,593.0 lbs (est.)
2593,Hydrogen Sulfide,100.0 lbs,891.0 lbs (est.)
2594,NOX,1000.0 lbs,4607.0 lbs (est.)
14352,Sewage,0,50.0 gals (est.)
2595,"Pentane, N-",5000.0 lbs,660.0 lbs (est.)
2596,Propane,5000.0 lbs,5834.0 lbs (est.)
2597,Sulfur dioxide,500.0 lbs,83817.0 lbs (est.)
2598,"pentane, iso-",5000.0 lbs,742.0 lbs (est.)
2599,Carbon Monoxide,0,1030.0 lbs (est.)
2600,Hydrogen Sulfide,0,198.0 lbs (est.)
2601,NOX,0,516.0 lbs (est.)
2602,Non-Methane Non-Ethane Natural Gas,0,1213.0 lbs (est.)
2603,Sulfur dioxide,0,18294.0 lbs (est.)
2604,"Wastewater discharge, municipal",0,450.0 gals (est.)
2605,NATURAL GAS,0,22161.81 lbs (est.)
2606,Used Oil,25.0 gals,25.0 gals
2607,VOC MIXTURE,42.01 lbs,51.38 lbs (est.)
2608,Hydrogen Sulfide,0,5110.0 lbs (est.)
2609,NATURAL GAS,0,236000.0 lbs (est.)
2610,Carbon Monoxide,0,71.0 lbs (est.)
2611,Hydrogen Sulfide,0,68.0 lbs (est.)
2612,NOX,0,36.0 lbs (est.)
2613,Non-Methane Non-Ethane Natural Gas,0,241.0 lbs (est.)
2614,Sulfur dioxide,0,6262.0 lbs (est.)
2615,Hydrogen Sulfide,0,241.8 lbs (est.)
2616,VOC,0,12023.4 lbs (est.)
2617,Opacity,20.0 % op,73.0 % op (est.)
2618,Carbon Monoxide,5000.0 lbs,95.0 lbs (est.)
2619,Hydrogen Sulfide,100.0 lbs,103.1 lbs (est.)
2620,Nitrogen monoxide,5000.0 lbs,11.0 lbs (est.)
2621,Opacity,0,5.0 % op (est.)
2622,Sulfur dioxide,500.0 lbs,9505.2 lbs (est.)
2623,Diesel fuel,0,50.0 gals
2624,"Wastewater discharge, municipal",0,150.0 gals (est.)
2625,NATURAL GAS,0,6167.87 lbs (est.)
2626,CO,250.0 TONS/YR,110.0 lbs (est.)
2627,Hydrogen Sulfide,25.0 TONS/YR,219.0 lbs (est.)
2628,NATURAL GAS,25.0 TONS/YR,680.0 lbs (est.)
2629,NOX,250.0 TONS/YR,56.0 lbs (est.)
2630,"Propane, N-",25.0 TONS/YR,318.0 lbs (est.)
2631,Sulfur dioxide,25.0 TONS/YR,8322.0 lbs (est.)
2632,CO,250.0 TONS/YR,43.0 lbs (est.)
2633,Hydrogen Sulfide,25.0 TONS/YR,80.0 lbs (est.)
2634,NATURAL GAS,25.0 TONS/YR,259.0 lbs (est.)
2635,NOX,250.0 TONS/YR,22.0 lbs (est.)
2636,"Propane, N-",25.0 TONS/YR,129.0 lbs (est.)
2637,Sulfur dioxide,25.0 TONS/YR,3022.0 lbs (est.)
2638,CO,250.0 TONS/YR,108.0 lbs (est.)
2639,Hydrogen Sulfide,25.0 TONS/YR,6.0 lbs (est.)
2640,NATURAL GAS,25.0 TONS/YR,419.0 lbs (est.)
2641,NOX,250.0 TONS/YR,54.0 lbs (est.)
2642,"Propane, N-",25.0 TONS/YR,187.0 lbs (est.)
2643,Sulfur dioxide,25.0 TONS/YR,24.0 lbs (est.)
2644,CO,250.0 TONS/YR,115.0 lbs (est.)
2645,Hydrogen Sulfide,25.0 TONS/YR,96.0 lbs (est.)
2646,NATURAL GAS,25.0 TONS/YR,662.0 lbs (est.)
2647,NOX,250.0 TONS/YR,57.0 lbs (est.)
2648,"Propane, N-",25.0 TONS/YR,290.0 lbs (est.)
2649,Sulfur dioxide,25.0 TONS/YR,3676.0 lbs (est.)
2650,CO,250.0 TONS/YR,118.0 lbs (est.)
2651,Hydrogen Sulfide,25.0 TONS/YR,110.0 lbs (est.)
2652,NATURAL GAS,25.0 TONS/YR,725.0 lbs (est.)
2653,NOX,250.0 TONS/YR,59.0 lbs (est.)
2654,"Propane, N-",25.0 TONS/YR,308.0 lbs (est.)
2655,Sulfur dioxide,25.0 TONS/YR,4210.0 lbs (est.)
2656,CO,250.0 TONS/YR,113.0 lbs (est.)
2657,Hydrogen Sulfide,25.0 TONS/YR,173.0 lbs (est.)
2658,NATURAL GAS,25.0 TONS/YR,681.0 lbs (est.)
2659,NOX,250.0 TONS/YR,56.0 lbs (est.)
2660,"Propane, N-",25.0 TONS/YR,318.0 lbs (est.)
2661,Sulfur dioxide,25.0 TONS/YR,6576.0 lbs (est.)
2662,CO,250.0 TONS/YR,525.0 lbs (est.)
2663,Hydrogen Sulfide,25.0 TONS/YR,23.0 lbs (est.)
2664,NATURAL GAS,25.0 TONS/YR,2008.0 lbs (est.)
2665,NOX,250.0 TONS/YR,263.0 lbs (est.)
2666,"Propane, N-",25.0 TONS/YR,869.0 lbs (est.)
2667,Sulfur dioxide,25.0 TONS/YR,2879.0 lbs (est.)
2668,Carbon Monoxide,0.81 LBS/HR,206.7 lbs (est.)
2669,Nitrogen oxide,3.03 LBS/HR,135.15 lbs (est.)
2670,Propane,72.04 LBS/HR,205.47 lbs (est.)
2671,CO,250.0 TONS/YR,100.0 lbs (est.)
2672,Hydrogen Sulfide,25.0 TONS/YR,129.0 lbs (est.)
2673,NATURAL GAS,25.0 TONS/YR,600.0 lbs (est.)
2674,NOX,250.0 TONS/YR,50.0 lbs (est.)
2675,"Propane, N-",25.0 TONS/YR,283.0 lbs (est.)
2676,Sulfur dioxide,25.0 TONS/YR,4909.0 lbs (est.)
2677,Ethylene (gaseous),0,55.2 lbs (est.)
2678,"Propane, N-",0,500.4 lbs (est.)
2679,Propylene (Propene),0,9444.9 lbs (est.)
2680,Opacity,0,20.0 % op (est.)
2681,Opacity,0,100.0 % op (est.)
2682,Carbon Monoxide,0,42.73 lbs (est.)
2683,Hydrogen Sulfide,0,26.22 lbs (est.)
2684,Nitrogen Oxides,0,4.98 lbs (est.)
2685,Sulfur dioxide,0,2443.2062 lbs (est.)
2686,VOC,0,10.85 lbs (est.)
2687,Hydrogen Sulfide,100.0 lbs,983.0 lbs (est.)
2688,VOC GAS MIXTURE,5000.0 lbs,28087.0 lbs (est.)
2689,CO,250.0 TONS/YR,6097.1 lbs (est.)
2690,NATURAL GAS,25.0 TONS/YR,25609.1 lbs (est.)
2691,NOX,250.0 TONS/YR,3054.1 lbs (est.)
2692,"Propane, N-",25.0 TONS/YR,12947.3 lbs (est.)
2693,Benzene,10.0 lbs,27.55 lbs (est.)
2694,VOCs,5000.0 lbs,16401.87 lbs (est.)
2695,CO,250.0 TONS/YR,1338.6 lbs (est.)
2696,NATURAL GAS,25.0 TONS/YR,1442.0 lbs (est.)
2697,NOX,250.0 TONS/YR,964.0 lbs (est.)
2698,"Propane, N-",25.0 TONS/YR,483.0 lbs (est.)
2699,CO,250.0 TONS/YR,460.0 lbs (est.)
2700,NATURAL GAS,25.0 TONS/YR,886.0 lbs (est.)
2701,NOX,250.0 TONS/YR,230.0 lbs (est.)
2702,"Propane, N-",25.0 TONS/YR,434.0 lbs (est.)
2703,CO,250.0 TONS/YR,764.11 lbs (est.)
2704,Hydrogen Sulfide,25.0 TONS/YR,0.04 lbs (est.)
2705,NATURAL GAS,25.0 TONS/YR,3031.4 lbs (est.)
2706,NOX,250.0 TONS/YR,382.75 lbs (est.)
2707,"Propane, N-",25.0 TONS/YR,1314.17 lbs (est.)
2708,Sulfur dioxide,25.0 TONS/YR,1.64 lbs (est.)
2709,Oxides of Nitrogen (NOx),25.0 LBS/HR,25.8 lbs (est.)
2710,Oxides of Nitrogen (NOx),25.0 LBS/HR,25.8 lbs
2711,Oxides of Nitrogen (NOx),25.0 LBS/HR,25.8 lbs (est.)
2712,CO,250.0 TONS/YR,879.0 lbs (est.)
2713,NATURAL GAS,25.0 TONS/YR,3894.0 lbs (est.)
2714,NOX,250.0 TONS/YR,440.0 lbs (est.)
2715,"Propane, N-",25.0 TONS/YR,1907.0 lbs (est.)
2716,Propylene,0,137081.0 lbs (est.)
2717,CO,250.0 TONS/YR,460.8 lbs (est.)
2718,NATURAL GAS,25.0 TONS/YR,2039.3 lbs (est.)
2719,NOX,250.0 TONS/YR,230.6 lbs (est.)
2720,"Propane, N-",25.0 LBS/HR,998.3 lbs (est.)
2721,VOC,0,5783.5 lbs (est.)
2722,CO,250.0 TONS/YR,760.6 lbs (est.)
2723,NATURAL GAS,25.0 TONS/YR,3053.3 lbs (est.)
2724,NOX,250.0 TONS/YR,380.9 lbs (est.)
2725,"Propane, N-",25.0 TONS/YR,1650.5 lbs (est.)
2726,Carbon Monoxide,22.59 LBS/HR,154.55 lbs (est.)
2727,Hydrogen Sulfide,2.78 LBS/HR,143.38 lbs (est.)
2728,NATURAL GAS,5.37 LBS/HR,40.13 lbs (est.)
2729,NOX,19.41 LBS/HR,18.02 lbs (est.)
2730,Nitrogen dioxide,0,0.9 lbs (est.)
2731,Nitrogen oxide,0,17.12 lbs (est.)
2732,Opacity,0,15.0 % op (est.)
2733,Sulfur dioxide,5.63 LBS/HR,13491.0 lbs (est.)
2734,Opacity,20.0 % op,2.5 % op (est.)
2735,Opacity,20.0 % op,80.0 % op (est.)
2736,Carbon Monoxide,40.37 LBS/HR,31.65 lbs (est.)
2737,Hydrogen Sulfide,1.06 LBS/HR,19.0 lbs (est.)
2738,NOX,4.5 LBS/HR,3.3 lbs (est.)
2739,PM10,1.08 LBS/HR,0.8 lbs (est.)
2740,Sulfur dioxide,37.8 LBS/HR,697.0 lbs (est.)
2741,VOC,2.0 LBS/HR,2.0 lbs (est.)
2742,Benzene,10.0 lbs,16.39 lbs (est.)
2743,VOC GAS MIXTURE,5000.0 lbs,7230.0 lbs (est.)
2744,Opacity,15.0 % op,20.0 % op (est.)
2745,"Butane, N-",5000.0 lbs,592.0 lbs (est.)
2746,"Butane, i",5000.0 lbs,172.0 lbs (est.)
2747,Carbon Monoxide,5000.0 lbs,2451.0 lbs (est.)
2748,Hexanes,5000.0 lbs,336.0 lbs (est.)
2749,Hydrogen Sulfide,100.0 lbs,257.0 lbs (est.)
2750,NOX,1000.0 lbs,1228.0 lbs (est.)
2751,"Pentane, N-",5000.0 lbs,217.0 lbs (est.)
2752,Propane,5000.0 lbs,1168.0 lbs (est.)
2753,Sulfur dioxide,500.0 lbs,24198.0 lbs (est.)
2754,"pentane, iso-",5000.0 lbs,157.0 lbs (est.)
2755,"Butane, N-",5000.0 lbs,386.0 lbs (est.)
2756,"Butane, i",5000.0 lbs,124.0 lbs (est.)
2757,Carbon Monoxide,5000.0 lbs,929.0 lbs (est.)
2758,Hydrogen Sulfide,100.0 lbs,100.0 lbs (est.)
2759,NOX,1000.0 lbs,465.0 lbs (est.)
2760,"Pentane, N-",5000.0 lbs,90.0 lbs (est.)
2761,Propane,5000.0 lbs,895.0 lbs (est.)
2762,Sulfur dioxide,500.0 lbs,9433.0 lbs (est.)
2763,hexanes +,5000.0 lbs,56.0 lbs (est.)
2764,"pentane, iso-",5000.0 lbs,73.0 lbs (est.)
2765,"Butane, N-",5000.0 lbs,706.0 lbs (est.)
2766,"Butane, i",5000.0 lbs,244.0 lbs (est.)
2767,Carbon Monoxide,5000.0 lbs,957.0 lbs (est.)
2768,Hydrogen Sulfide,100.0 lbs,78.0 lbs (est.)
2769,NOX,1000.0 lbs,479.0 lbs (est.)
2770,"Pentane, N-",5000.0 lbs,128.0 lbs (est.)
2771,Propane,5000.0 lbs,1693.0 lbs (est.)
2772,Sulfur dioxide,500.0 lbs,7352.0 lbs (est.)
2773,hexanes +,5000.0 lbs,37.0 lbs (est.)
2774,"pentane, iso-",5000.0 lbs,113.0 lbs (est.)
2775,"Butane, N-",5000.0 lbs,1468.0 lbs (est.)
2776,"Butane, i",5000.0 lbs,463.0 lbs (est.)
2777,Carbon Monoxide,5000.0 lbs,3378.0 lbs (est.)
2778,Hydrogen Sulfide,100.0 lbs,193.0 lbs (est.)
2779,NOX,1000.0 lbs,1692.0 lbs (est.)
2780,"Pentane, N-",5000.0 lbs,460.0 lbs (est.)
2781,Propane,5000.0 lbs,3374.0 lbs (est.)
14465,Sewage,0,50.0 gals (est.)
2782,Sulfur dioxide,500.0 lbs,18146.0 lbs (est.)
2783,hexanes +,5000.0 lbs,570.0 lbs (est.)
2784,"pentane, iso-",5000.0 lbs,323.0 lbs (est.)
2785,"Butane, N-",5000.0 lbs,473.0 lbs (est.)
2786,"Butane, i",5000.0 lbs,162.0 lbs (est.)
2787,Carbon Monoxide,5000.0 lbs,1267.0 lbs (est.)
2788,Hydrogen Sulfide,100.0 lbs,56.0 lbs (est.)
2789,NOX,1000.0 lbs,635.0 lbs (est.)
2790,"Pentane, N-",5000.0 lbs,150.0 lbs (est.)
2791,Propane,5000.0 lbs,1001.0 lbs (est.)
2792,Sulfur dioxide,500.0 lbs,5295.0 lbs (est.)
2793,hexanes +,5000.0 lbs,227.0 lbs (est.)
2794,"pentane, iso-",5000.0 lbs,134.0 lbs (est.)
2795,"Butane, N-",5000.0 lbs,528.0 lbs (est.)
2796,"Butane, i",5000.0 lbs,164.0 lbs (est.)
2797,Carbon Monoxide,5000.0 lbs,1323.0 lbs (est.)
2798,Hydrogen Sulfide,100.0 lbs,129.0 lbs (est.)
2799,NOX,1000.0 lbs,663.0 lbs (est.)
2800,"Pentane, N-",5000.0 lbs,184.0 lbs (est.)
2801,Propane,5000.0 lbs,1194.0 lbs (est.)
2802,Sulfur dioxide,500.0 lbs,12132.0 lbs (est.)
2803,hexanes +,5000.0 lbs,201.0 lbs (est.)
2804,"pentane, iso-",5000.0 lbs,125.0 lbs (est.)
2805,Opacity,20.0 % op,35.0 % op (est.)
2806,Carbon Monoxide,0,360.0 lbs (est.)
2807,Hydrogen Sulfide,0,54.0 lbs (est.)
2808,NOX,0,179.0 lbs (est.)
2809,Non-Methane Non-Ethane Natural Gas,0,689.0 lbs (est.)
2810,Sulfur dioxide,0,4978.0 lbs (est.)
2811,Carbon Monoxide,0,717.0 lbs (est.)
2812,Hydrogen Sulfide,0,52.0 lbs (est.)
2813,NOX,0,359.0 lbs (est.)
2814,Non-Methane Non-Ethane Natural Gas,0,1201.0 lbs (est.)
2815,Sulfur dioxide,0,4754.0 lbs (est.)
2816,Carbon Monoxide,0,199.0 lbs (est.)
2817,Hydrogen Sulfide,0,65.0 lbs (est.)
2818,NOX,0,100.0 lbs (est.)
